edge_id,u,v,key,u_lat,u_lon,v_lat,v_lon,length_m,max_speed_kph,travel_time_s,name,highway,oneway,lanes,ref,bridge,tunnel,access,closed,traffic_mult,max_height_m,max_weight_tons
49429325_6968872223_0,49429325,6968872223,0,-23.8972192,29.4497806,-23.8980536,29.4500029,95.59521848702994,80.0,4.301784831916347,Landdros Mare Street,primary,True,5,R101,no,no,yes,False,1.0,,
49429330_5975757349_0,49429330,5975757349,0,-23.8980088,29.4490081,-23.8970892,29.4492616,107.70941377162228,80.0,4.846923619723003,Landdros Mare Street,primary,True,2,R101,no,no,yes,False,1.0,,
49429330_1942920671_0,49429330,1942920671,0,-23.8980088,29.4490081,-23.8974558,29.4488552,63.430418429159516,60.0,3.805825105749571,Market Street,secondary,True,2,R521,no,no,yes,False,1.0,,
49429338_445022867_0,49429338,445022867,0,-23.9113729,29.4531233,-23.9136002,29.453591,252.23179947223127,30.0,30.267815936667755,Landdros Mare Street,unclassified,True,3,unclassified,no,no,yes,False,1.0,,
49429338_249136833_0,49429338,249136833,0,-23.9113729,29.4531233,-23.911574,29.4521805,98.42712197592293,60.0,5.905627318555376,Thabo Mbeki Street,primary,True,4,R101,no,no,yes,False,1.0,,
49429346_460201943_0,49429346,460201943,0,-23.9093696,29.4516394,-23.9071567,29.4511028,252.07662487466132,80.0,11.343448119359758,Market Street,primary,True,4,R101,no,no,yes,False,1.0,,
49429346_249136820_0,49429346,249136820,0,-23.9093696,29.4516394,-23.9091784,29.4525956,99.51288715787008,60.0,5.970773229472205,Grobler Street,primary,True,4,R71,no,no,yes,False,1.0,,
49429356_460201983_0,49429356,460201983,0,-23.9114624,29.4448205,-23.9102963,29.4468946,265.21323259581163,60.0,15.912793955748699,Grobler Street,primary,True,"['4', '3']",R101,yes,no,yes,False,1.0,5.0,30.0
49429373_1106843553_0,49429373,1106843553,0,-23.9149804,29.4440256,-23.914425,29.444439,74.77782769508914,60.0,4.486669661705348,Grobler Street,primary,True,2,R101,no,no,yes,False,1.0,,
49429380_460201983_0,49429380,460201983,0,-23.9124923,29.4474149,-23.9102963,29.4468946,249.846559373465,30.0,29.9815871248158,Dahl Street,unclassified,False,2,unclassified,no,no,yes,False,1.0,,
49429380_1106843516_0,49429380,1106843516,0,-23.9124923,29.4474149,-23.9143153,29.4448856,338.2822787799269,60.0,20.296936726795614,Thabo Mbeki Street,primary,True,"['2', '4']",R101,yes,no,yes,False,1.0,5.0,30.0
249136820_460201971_0,249136820,460201971,0,-23.9091784,29.4525956,-23.9089636,29.4535369,98.64019408390531,60.0,5.918411645034319,Grobler Street,primary,True,4,R71,no,no,yes,False,1.0,,
