step,direction
1,Take Unnamed road [residential | 9 m | speed limit 45 km/h]
2,Continue on Unnamed road [residential | 14 m | speed limit 45 km/h]
3,Take Vharanani Avenue [residential | 86 m | speed limit 45 km/h]
4,Take Outspan Drive [tertiary | 41 m | speed limit 56 km/h]
5,Continue on Outspan Drive [tertiary | 47 m | speed limit 56 km/h]
6,Take Johan Street [residential | 110 m | speed limit 45 km/h]
7,Take De Villiers Avenue [residential | 181 m | speed limit 45 km/h]
8,Continue on De Villiers Avenue [residential | 295 m | speed limit 45 km/h]
9,Take De Wet Drive [tertiary | 92 m | speed limit 60 km/h]
10,Continue on De Wet Drive [tertiary | 84 m | speed limit 60 km/h]
11,Continue on De Wet Drive [tertiary | 190 m | speed limit 60 km/h]
12,Continue on De Wet Drive [tertiary | 118 m | speed limit 60 km/h]
13,Continue on De Wet Drive [tertiary | 146 m | speed limit 60 km/h]
14,Continue on De Wet Drive [tertiary | 19 m | speed limit 60 km/h]
15,Continue on De Wet Drive [tertiary | 10 m | speed limit 60 km/h]
16,Take Munnik Avenue [primary | 9 m | speed limit 60 km/h]
17,Continue on Munnik Avenue [primary | 25 m | speed limit 60 km/h]
18,Continue on Munnik Avenue [primary | 548 m | speed limit 60 km/h]
19,Continue on Munnik Avenue [primary | 35 m | speed limit 60 km/h]
20,Continue on Munnik Avenue [primary | 36 m | speed limit 60 km/h]
21,Continue on Munnik Avenue [primary | 466 m | speed limit 60 km/h]
22,Continue on Munnik Avenue [primary | 583 m | speed limit 60 km/h]
23,Continue on Munnik Avenue [primary | 39 m | speed limit 60 km/h]
24,Continue on Munnik Avenue [primary | 51 m | speed limit 60 km/h]
25,Continue on Munnik Avenue [primary | 195 m | speed limit 60 km/h]
26,Continue on Munnik Avenue [primary | 120 m | speed limit 60 km/h]
27,Continue on Munnik Avenue [primary | 55 m | speed limit 60 km/h]
28,Continue on Munnik Avenue [primary | 99 m | speed limit 60 km/h]
29,Take Gazelle Street [primary | 45 m | speed limit 60 km/h]
30,Continue on Gazelle Street [primary | 103 m | speed limit 60 km/h]
31,Continue on Gazelle Street [primary | 130 m | speed limit 60 km/h]
32,Take Thabo Mbeki Street [primary | 111 m | speed limit 60 km/h]
33,Continue on Thabo Mbeki Street [primary | 347 m | speed limit 60 km/h]
34,Take Webster Street [tertiary | 128 m | speed limit 60 km/h]
35,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
36,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
37,Continue on Webster Street [tertiary | 126 m | speed limit 60 km/h]
38,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
39,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
40,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
41,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
42,Take Suid Street [tertiary | 359 m | speed limit 60 km/h]
--,--
1,Take De Wet Drive [tertiary | 190 m | speed limit 60 km/h]
2,Continue on De Wet Drive [tertiary | 118 m | speed limit 60 km/h]
3,Continue on De Wet Drive [tertiary | 146 m | speed limit 60 km/h]
4,Continue on De Wet Drive [tertiary | 19 m | speed limit 60 km/h]
5,Continue on De Wet Drive [tertiary | 10 m | speed limit 60 km/h]
6,Take Munnik Avenue [primary | 9 m | speed limit 60 km/h]
7,Continue on Munnik Avenue [primary | 25 m | speed limit 60 km/h]
8,Continue on Munnik Avenue [primary | 548 m | speed limit 60 km/h]
9,Continue on Munnik Avenue [primary | 35 m | speed limit 60 km/h]
10,Continue on Munnik Avenue [primary | 36 m | speed limit 60 km/h]
11,Continue on Munnik Avenue [primary | 466 m | speed limit 60 km/h]
12,Continue on Munnik Avenue [primary | 583 m | speed limit 60 km/h]
13,Continue on Munnik Avenue [primary | 39 m | speed limit 60 km/h]
14,Continue on Munnik Avenue [primary | 51 m | speed limit 60 km/h]
15,Continue on Munnik Avenue [primary | 195 m | speed limit 60 km/h]
16,Continue on Munnik Avenue [primary | 120 m | speed limit 60 km/h]
17,Continue on Munnik Avenue [primary | 55 m | speed limit 60 km/h]
18,Continue on Munnik Avenue [primary | 99 m | speed limit 60 km/h]
19,Take Gazelle Street [primary | 45 m | speed limit 60 km/h]
20,Continue on Gazelle Street [primary | 103 m | speed limit 60 km/h]
21,Continue on Gazelle Street [primary | 130 m | speed limit 60 km/h]
22,Take Thabo Mbeki Street [primary | 111 m | speed limit 60 km/h]
23,Continue on Thabo Mbeki Street [primary | 347 m | speed limit 60 km/h]
24,Take Webster Street [tertiary | 128 m | speed limit 60 km/h]
25,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
26,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
27,Continue on Webster Street [tertiary | 126 m | speed limit 60 km/h]
28,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
29,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
30,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
31,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
32,Take Suid Street [tertiary | 359 m | speed limit 60 km/h]
--,--
1,Take Webster Street [tertiary | 125 m | speed limit 60 km/h]
2,Continue on Webster Street [tertiary | 126 m | speed limit 60 km/h]
3,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
4,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
5,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
6,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
7,Take Suid Street [tertiary | 359 m | speed limit 60 km/h]
--,--
1,Take Grassmere Close [residential | 71 m | speed limit 45 km/h]
2,Take Bayman Street [residential | 65 m | speed limit 45 km/h]
3,Continue on Bayman Street [residential | 68 m | speed limit 45 km/h]
4,Take Diemeer Street [tertiary | 133 m | speed limit 60 km/h]
5,Continue on Diemeer Street [tertiary | 187 m | speed limit 60 km/h]
6,Continue on Diemeer Street [tertiary | 60 m | speed limit 60 km/h]
7,Continue on Diemeer Street [tertiary | 111 m | speed limit 60 km/h]
8,Continue on Diemeer Street [tertiary | 144 m | speed limit 30 km/h]
9,Continue on Diemeer Street [tertiary | 85 m | speed limit 60 km/h]
10,Take General Maritz Street [residential | 137 m | speed limit 45 km/h]
11,Continue on General Maritz Street [residential | 90 m | speed limit 45 km/h]
12,Take Kommandant Lombaard Street [residential | 147 m | speed limit 45 km/h]
13,Continue on Kommandant Lombaard Street [residential | 137 m | speed limit 45 km/h]
